date,taiex_close,margin_financing_twd,margin_financing_trillion_twd,foreign_net_buy_twd,foreign_net_buy_100m_twd,usdtwd,taiex_ratio,usdtwd_ratio
2014-08-27,9485.58984375,207726922000.0,0.207726922,11679627349.0,116.79627349,29.121000289916992,110.13696076567132,99.92108560758682
2014-08-28,9478.3701171875,209021339000.0,0.209021339,4069401773.0,40.69401773,29.118999481201172,110.05313269021677,99.91422035649697
2014-08-29,9436.26953125,209431911000.0,0.209431911,4487743168.0,44.87743168,,109.56430377625468,
2014-09-01,9513.0595703125,209455033000.0,0.209455033,8497730884.0,84.97730884,29.117000579833984,110.45591111525357,99.90736164997442
2014-09-02,9399.7197265625,209822908000.0,0.209822908,-628287974.0,-6.28287974,29.145999908447266,109.13992485294371,100.00686525108986
2014-09-03,9450.349609375,209911999000.0,0.209911999,7120666313.0,71.20666313,29.145999908447266,109.72778723248406,100.00686525108986
2014-09-04,9428.8896484375,210331795000.0,0.210331795,347517633.0,3.47517633,29.56399917602539,109.478616130345,101.44112026237954
2014-09-05,9407.9404296875,210824905000.0,0.210824905,1753144791.0,17.53144791,,109.23537524374262,
2014-09-09,9434.76953125,210957996000.0,0.210957996,9424601161.0,94.24601161,29.05500030517578,109.54688731150448,99.69462394556386
2014-09-10,9357.6103515625,211980017000.0,0.211980017,-10409861288.0,-104.09861288,29.292999267578125,108.65099388938344,100.51125505232415
2014-09-11,9322.9501953125,211855119000.0,0.211855119,-1493944963.0,-14.93944963,29.98200035095215,108.24855562967379,102.87538181823655
2014-09-12,9223.1796875,212104254000.0,0.212104254,-4599650566.0,-45.99650566,,107.09012260805663,
2014-09-15,9217.4599609375,211862646000.0,0.211862646,-1092165508.0,-10.92165508,29.31599998474121,107.02371099735227,100.5901759893046
2014-09-16,9133.400390625,211820463000.0,0.211820463,-7793818068.0,-77.93818068,29.3439998626709,106.04769730184265,100.68625023715876
2014-09-17,9195.169921875,212194160000.0,0.21219416,-3013120790.0,-30.1312079,29.648000717163086,106.76490187761057,101.7293495505093
2014-09-18,9237.0302734375,212846201000.0,0.212846201,-1042316160.0,-10.4231616,29.368999481201172,107.25094143589,100.77202988066179
2014-09-19,9240.4501953125,212853952000.0,0.212853952,-2992668582.0,-29.92668582,,107.29065006841292,
2014-09-22,9134.650390625,213801737000.0,0.213801737,-15086555350.0,-150.8655535,29.45599937438965,106.0622110224678,101.07054722857536
2014-09-23,9084.900390625,214233372000.0,0.214233372,-6507525363.0,-65.07525363,29.538999557495117,105.48456494158624,101.35534061887654
2014-09-24,9098.490234375,215052402000.0,0.215052402,-5656305443.0,-56.56305443,29.572999954223633,105.64235629800795,101.47200407543295
2014-09-25,9011.58984375,214467652000.0,0.214467652,-5891210287.0,-58.91210287,29.458999633789062,104.63335790460879,101.0808418329265
2014-09-26,8989.8203125,213726986000.0,0.213726986,-2992388957.0,-29.92388957,,104.38059238884617,
2014-09-29,8960.759765625,214337709000.0,0.214337709,-12465783850.0,-124.6578385,29.676000595092773,104.04317106199956,101.82542379836346
2014-09-30,8966.919921875,213830708000.0,0.213830708,-4457969712.0,-44.57969712,29.572999954223633,104.11469649145543,101.47200407543295
2014-10-01,8990.259765625,213831969000.0,0.213831969,-7278120148.0,-72.78120148,29.611000061035156,104.38569486875345,101.60239148960177
2014-10-02,8975.1904296875,214166530000.0,0.21416653,-6188579432.0,-61.88579432,30.405000686645508,104.21072516331054,104.32679668496725
2014-10-03,9106.2802734375,213724562000.0,0.213724562,4001686170.0,40.0168617,,105.73280625849775,
2014-10-06,9095.1396484375,214515204000.0,0.214515204,-4230644288.0,-42.30644288,29.389999389648438,105.60345272342597,100.8440855665524
