date,total_buy,total_sell,daily_net,cumulative_net,bsa_net,bsa_cumulative,continuous_net,continuous_cumulative,huge_net,huge_cumulative
2020-08-17,18431.44,14178.68,4252.76,358518.20000000007,3283.15,239163.19999999995,1413.0700000000002,132755.26000000007,1870.08,106407.81
2020-08-18,14274.009999999998,11616.16,2657.84,361176.0400000001,1727.25,240890.44999999995,1128.12,133883.38000000006,599.1399999999999,107006.95
2020-08-19,10228.05,9206.380000000001,1021.67,362197.7100000001,735.58,241626.02999999994,764.96,134648.34000000005,-29.38000000000011,106977.56999999999
2020-08-20,15755.96,13989.35,1766.61,363964.32000000007,47.77,241673.79999999993,-283.40999999999985,134364.93000000005,331.1799999999994,107308.74999999999
2020-08-21,14442.2,11917.439999999999,2524.78,366489.1000000001,1952.21,243626.00999999992,893.7999999999997,135258.73000000004,1058.4000000000005,108367.14999999998
2020-08-24,18538.05,13848.55,4689.51,371178.6100000001,3903.85,247529.85999999993,2139.32,137398.05000000005,1764.5200000000004,110131.66999999998
2020-08-25,14720.849999999999,12793.510000000002,1927.35,373105.9600000001,1510.76,249040.61999999994,332.77,137730.82000000004,1177.9799999999996,111309.64999999998
2020-08-26,14286.36,11941.43,2344.94,375450.9000000001,1535.13,250575.74999999994,909.1200000000001,138639.94000000003,626.0,111935.64999999998
2020-08-27,16199.57,12467.2,3732.37,379183.2700000001,2109.97,252685.71999999994,762.47,139402.41000000003,1347.5100000000002,113283.15999999997
2020-08-28,19871.96,17642.87,2229.1,381412.37000000005,3250.38,255936.09999999995,1767.0599999999995,141169.47000000003,1483.3100000000004,114766.46999999997
2020-08-31,19800.27,19737.47,62.8,381475.17000000004,884.33,256820.42999999993,-14.170000000000073,141155.30000000002,898.5,115664.96999999997
2020-09-01,15746.81,12708.279999999999,3038.52,384513.69000000006,2250.55,259070.97999999992,794.6700000000001,141949.97000000003,1455.8900000000003,117120.85999999997
2020-09-02,16810.38,14417.25,2393.14,386906.8300000001,1177.89,260248.86999999994,298.6099999999997,142248.58000000002,879.2800000000007,118000.13999999997
2020-09-03,15104.21,14040.53,1063.68,387970.51000000007,396.71,260645.57999999993,-102.76000000000022,142145.82,499.46999999999935,118499.60999999997
2020-09-04,19317.92,14604.77,4713.15,392683.6600000001,3490.36,264135.93999999994,1745.5400000000004,143891.36000000002,1744.8200000000006,120244.42999999998
2020-09-07,19336.42,20296.77,-960.36,391723.3000000001,-1111.82,263024.11999999994,-615.8299999999999,143275.53000000003,-495.9800000000005,119748.44999999998
2020-09-08,19419.58,20390.21,-970.63,390752.6700000001,-2207.39,260816.72999999992,-1437.54,141837.99000000002,-769.8399999999992,118978.60999999999
2020-09-09,18726.17,16602.559999999998,2123.61,392876.2800000001,762.81,261579.53999999992,451.72000000000025,142289.71000000002,311.10000000000036,119289.70999999999
2020-09-10,13864.05,14367.7,-503.66,392372.6200000001,-741.81,260837.72999999992,-273.46000000000004,142016.25000000003,-468.34000000000015,118821.37
2020-09-11,15461.77,10971.59,4490.17,396862.7900000001,2582.75,263420.4799999999,1256.28,143272.53000000003,1326.4700000000003,120147.84
2020-09-14,16823.379999999997,12383.300000000001,4440.08,401302.8700000001,2682.33,266102.80999999994,2322.98,145595.51000000004,359.34999999999945,120507.19
2020-09-15,17268.25,13609.75,3658.5,404961.3700000001,1958.15,268060.95999999996,1245.8100000000004,146841.32000000004,712.3500000000004,121219.54000000001
2020-09-16,13858.279999999999,12213.3,1644.97,406606.3400000001,557.76,268618.72,624.5,147465.82000000004,-66.73000000000047,121152.81000000001
2020-09-17,15856.23,16098.4,-242.17,406364.1700000001,-730.09,267888.62999999995,-627.8400000000001,146837.98000000004,-102.25,121050.56000000001
2020-09-18,16542.239999999998,13137.61,3404.63,409768.8000000001,2161.52,270050.14999999997,241.98000000000002,147079.96000000005,1919.54,122970.1
2020-09-21,13989.47,16821.97,-2832.5,406936.3000000001,-1458.2,268591.94999999995,-693.2199999999998,146386.74000000005,-764.9700000000003,122205.13
2020-09-22,14932.78,14703.46,229.31,407165.6100000001,720.6,269312.54999999993,-334.3299999999999,146052.41000000006,1054.9400000000005,123260.07
2020-09-23,15142.5,12574.599999999999,2567.9,409733.5100000001,1685.72,270998.2699999999,479.6400000000003,146532.05000000008,1206.08,124466.15000000001
2020-09-24,15746.130000000001,16972.03,-1225.89,408507.6200000001,-184.47,270813.79999999993,-2.569999999999709,146529.48000000007,-181.90999999999985,124284.24
2020-09-25,13763.07,13786.09,-23.02,408484.6000000001,648.9,271462.69999999995,27.610000000000127,146557.09000000005,621.29,124905.53
2020-09-28,15392.56,10641.029999999999,4751.52,413236.1200000001,2602.92,274065.61999999994,1253.3600000000001,147810.45000000004,1349.5599999999995,126255.09
2020-09-29,13384.029999999999,12514.21,869.83,414105.9500000001,744.79,274810.4099999999,124.92000000000007,147935.37000000005,619.8699999999999,126874.95999999999
2020-09-30,14858.34,12088.55,2769.78,416875.73000000016,1874.73,276685.1399999999,1918.7500000000002,149854.12000000005,-44.02000000000044,126830.93999999999
2020-10-05,16730.59,15531.73,1198.86,418074.59000000014,557.21,277242.3499999999,334.14999999999964,150188.27000000005,223.0599999999995,127053.99999999999
2020-10-06,12782.67,10129.41,2653.26,420727.85000000015,1694.45,278936.79999999993,701.4100000000003,150889.68000000005,993.0400000000004,128047.03999999998
